ticker,liquidity_20d,momentum_90d,momentum_252d,FA_flag,liquidity_rank,momentum_rank,score
HTI,3050301645.0,0.3198107721305459,0.0,1,0.49514563106796117,0.7451456310679612,0.6201456310679612
DCL,14301496705.0,0.1925465838509317,0.0,1,0.6504854368932039,0.5898058252427184,0.6201456310679612
BBC,358295295.0,0.6920152091254752,0.0,1,0.279126213592233,0.9514563106796117,0.6152912621359223
BCM,28115033765.0,0.12950819672131142,0.0,1,0.7233009708737864,0.5072815533980582,0.6152912621359223
CRC,14171452832.0,0.18981990574779029,0.0,1,0.6480582524271845,0.5825242718446602,0.6152912621359223
PAC,13180715467.5,0.19633032627823033,0.0,1,0.6310679611650486,0.5995145631067961,0.6152912621359223
SRC,337861135.0,0.7058486789277743,0.0,1,0.27184466019417475,0.9538834951456311,0.6128640776699029
DRH,3672997182.5,0.28695652173913033,0.0,1,0.5145631067961165,0.7087378640776699,0.6116504854368932
AAA,20490264590.5,0.15185093093782354,0.0,1,0.691747572815534,0.529126213592233,0.6104368932038835
DGC,224508570330.0,0.03422459893048124,0.0,1,0.8956310679611651,0.32038834951456313,0.6080097087378641
GIL,20560960090.0,0.1333333333333333,0.0,1,0.6941747572815534,0.5169902912621359,0.6055825242718447
PVT,57803281170.0,0.08948894587754141,0.0,1,0.7864077669902912,0.42475728155339804,0.6055825242718447
REE,60753976430.0,0.0851678608911981,0.0,1,0.7936893203883495,0.41262135922330095,0.6031553398058253
DAH,3252005914.5,0.28205128205128216,0.0,1,0.5024271844660194,0.7014563106796117,0.6019417475728155
TCM,55807051067.5,0.08941218280124907,0.0,1,0.7815533980582524,0.4223300970873786,0.6019417475728155
SVC,408144594.44475,0.5095657682805941,0.0,1,0.30339805825242716,0.8907766990291263,0.5970873786407767
TDC,15274379405.0,0.158371040723982,0.0,1,0.6553398058252428,0.5388349514563107,0.5970873786407767
VOS,28627326100.353004,0.10912559166246716,0.0,1,0.7257281553398058,0.46116504854368934,0.5934466019417476
PLP,1157616474.5,0.3467933491686461,0.0,1,0.4053398058252427,0.7815533980582524,0.5934466019417476
FUESSV50,541035017.0,0.4245000000000001,0.0,0,0.32524271844660196,0.8592233009708737,0.5922330097087378
GAS,62026654588.8325,0.07092798908852904,0.0,1,0.7961165048543689,0.3859223300970874,0.5910194174757282
ASM,11494703577.0,0.17337031900138689,0.0,1,0.6189320388349514,0.5631067961165048,0.5910194174757282
PTL,406535475.0,0.4661016949152543,0.0,1,0.30097087378640774,0.8786407766990292,0.5898058252427185
DAT,133104384.5,1.057142857142857,0.0,1,0.1820388349514563,0.9878640776699029,0.5849514563106796
TTA,9572792992.5,0.17050691244239635,0.0,1,0.5995145631067961,0.5558252427184466,0.5776699029126213
TVS,13990006737.5,0.12849162011173187,0.0,1,0.6456310679611651,0.5048543689320388,0.575242718446602
ACL,529758152.5,0.3731343283582089,0.0,1,0.32038834951456313,0.8252427184466019,0.5728155339805825
VDP,1116034840.0,0.323943661971831,0.0,1,0.3932038834951456,0.7524271844660194,0.5728155339805825
NAB,48983755177.5,0.06017191977077374,0.0,1,0.7718446601941747,0.36893203883495146,0.5703883495145631
FTS,126679735812.5,0.024861878453038777,0.0,1,0.8567961165048543,0.28398058252427183,0.5703883495145631
SVD,317145680.0,0.4571428571428571,0.0,1,0.2621359223300971,0.8762135922330098,0.5691747572815534
VPS,342050712.5,0.4348555814952657,0.0,1,0.27427184466019416,0.8640776699029126,0.5691747572815533
FUESSV30,391822619.0,0.4052916416115453,0.0,0,0.2936893203883495,0.8422330097087378,0.5679611650485437
PNJ,58322884550.0,0.04857819905213279,0.0,1,0.7888349514563107,0.3446601941747573,0.566747572815534
PTC,650132585.0,0.3448275862068966,0.0,1,0.34951456310679613,0.779126213592233,0.5643203883495146
FUEKIVFS,714905084.0,0.3436154949784791,0.0,0,0.35436893203883496,0.7742718446601942,0.5643203883495146
DTT,175847535.0,0.5855067476217399,0.0,1,0.2111650485436893,0.9150485436893204,0.5631067961165048
TCD,2667257250.0,0.23414634146341462,0.0,1,0.4830097087378641,0.6407766990291263,0.5618932038834952
FUETCC50,761611817.5,0.3301343570057582,0.0,0,0.3640776699029126,0.7572815533980582,0.5606796116504854
TLD,2094063688.0,0.2378716744913929,0.0,1,0.46116504854368934,0.6504854368932039,0.5558252427184467
SZC,54405777526.5625,0.036534013177700775,0.0,1,0.779126213592233,0.3276699029126214,0.5533980582524272
GVR,106863563122.5,0.017793594306049876,0.0,1,0.8422330097087378,0.25728155339805825,0.549757281553398
PLX,70351514015.0,0.027670650016948573,0.0,1,0.808252427184466,0.28883495145631066,0.5485436893203883
